ano_base,uf,ocupacao_principal,qtde_contribuintes,rendimento_tributavel_total,rend_sujeitos_a_tribut_exclusiva,rend_isentos_e_nao_tributaveis,imposto_devido_total,imposto_pago,rend_total,rend_total_por_contrib,pct_isento,pct_tributavel,pct_exclusiva,aliq_efetiva_devida,aliq_efetiva_paga
2020,Acre,"Presidente, diretor, gerente, superv, organ, internac, e ONG",39.0,183000000.0,17000000.0,26000000.0,17000000.0,2000000.0,226000000.0,5794871.794871795,0.11504424778761062,0.8097345132743363,0.0752212389380531,0.0752212389380531,0.008849557522123894
2020,Acre,Produtor na exploração agropecuária,759.0,6664000000.0,441000000.0,11319000000.0,1114000000.0,99000000.0,18424000000.0,24274044.795783926,0.6143617021276596,0.3617021276595745,0.023936170212765957,0.06046461137646548,0.005373425966131134
2020,Acre,Professor do ensino fundamental,6736.0,41856000000.0,3069000000.0,1251000000.0,3021000000.0,2867000000.0,46176000000.0,6855106.888361045,0.027091995841995842,0.9064449064449065,0.06646309771309772,0.06542359667359668,0.06208853083853084
2020,Acre,Professor do ensino médio,2627.0,19424000000.0,1688000000.0,828000000.0,1782000000.0,1794000000.0,21940000000.0,8351732.0137038445,0.03773928896991796,0.8853236098450319,0.07693710118505014,0.08122151321786691,0.08176845943482225
2020,Acre,Professor do ensino profissional,246.0,2808000000.0,2000000.0,127000000.0,383000000.0,406000000.0,2937000000.0,11939024.390243903,0.04324140279196459,0.9560776302349336,0.0006809669731018045,0.13040517534899557,0.13823629553966632
2020,Acre,Professor do ensino superior,917.0,1265000000.0,1325000000.0,1116000000.0,1867000000.0,196000000.0,3706000000.0,4041439.4765539803,0.3011332973556395,0.34133837021046953,0.357528332433891,0.5037776578521317,0.0528872099298435
2020,Acre,Professor na educação infantil,1277.0,6983000000.0,478000000.0,198000000.0,406000000.0,391000000.0,7659000000.0,5997650.743931089,0.025851938895417155,0.911737824781303,0.0624102363232798,0.05300953127040083,0.05105105105105105
2020,Acre,Profissional da educação física (exceto professor),43.0,223000000.0,16000000.0,28000000.0,14000000.0,14000000.0,267000000.0,6209302.325581395,0.10486891385767791,0.8352059925093633,0.0599250936329588,0.052434456928838954,0.052434456928838954
2020,Acre,"Profissional de marketing, publicidade e da comercialização",21.0,174000000.0,1000000.0,81000000.0,21000000.0,24000000.0,256000000.0,12190476.19047619,0.31640625,0.6796875,0.00390625,0.08203125,0.09375
2020,Acre,Psicólogo,203.0,1294000000.0,14000000.0,107000000.0,115000000.0,117000000.0,1415000000.0,6970443.349753695,0.07561837455830389,0.9144876325088339,0.009893992932862191,0.0812720848056537,0.08268551236749117
2020,Acre,Sacerdote ou membro de ordens ou seitas religiosas,174.0,912000000.0,27000000.0,84000000.0,66000000.0,74000000.0,1023000000.0,5879310.344827586,0.08211143695014662,0.8914956011730205,0.026392961876832845,0.06451612903225806,0.07233626588465299
2020,Acre,Servidor das carreiras de auditoria fiscal e de fiscalização,294.0,8375000000.0,584000000.0,633000000.0,156000000.0,1675000000.0,9592000000.0,32625850.340136055,0.06599249374478733,0.8731234361968306,0.060884070058381985,0.01626355296080067,0.17462468723936614
2020,Acre,Servidor das carreiras de ciência e tecnologia,32.0,471000000.0,35000000.0,39000000.0,77000000.0,78000000.0,545000000.0,17031250.0,0.07155963302752294,0.8642201834862385,0.06422018348623854,0.14128440366972478,0.14311926605504588
2020,Acre,"Servidor das carreiras de gestão governamental, analista etc",302.0,3648000000.0,248000000.0,11000000.0,493000000.0,531000000.0,3907000000.0,12937086.092715232,0.0028154594317890964,0.9337087279242385,0.06347581264397235,0.1261837727156386,0.13590990529818275
2020,Acre,"Servidor das carreiras do Banco Central, CVM e Susep",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,Servidor das carreiras do Ministério Público,249.0,3021000000.0,221000000.0,317000000.0,405000000.0,438000000.0,3559000000.0,14293172.690763053,0.08906996347288564,0.8488339421185727,0.062096094408541726,0.1137960101152009,0.12306827760606912
2020,Acre,"Servidor das carreiras do Poder Judiciário, Of, Justiça etc",1216.0,16485000000.0,112000000.0,1854000000.0,2328000000.0,2546000000.0,18451000000.0,15173519.736842105,0.10048235867974635,0.8934475096200748,0.006070131700178852,0.12617202319657472,0.1379871009701371
2020,Acre,Servidor das carreiras do Poder Legislativo,336.0,4019000000.0,232000000.0,191000000.0,513000000.0,518000000.0,4442000000.0,13220238.095238095,0.042998649257091404,0.904772624943719,0.05222872579918955,0.1154885186852769,0.11661413777577667
2020,Acre,"Servidor das demais carreiras da admin, pública direta etc",1880.0,14529000000.0,95000000.0,1065000000.0,1435000000.0,159000000.0,15689000000.0,8345212.765957447,0.0678819555102301,0.9260628465804066,0.006055197909363248,0.0914653578940659,0.010134489132513226
2020,Acre,Sociólogo e cientista político,34.0,343000000.0,2000000.0,22000000.0,43000000.0,42000000.0,367000000.0,10794117.647058824,0.05994550408719346,0.9346049046321526,0.005449591280653951,0.11716621253405994,0.11444141689373297
2020,Acre,Titular de Cartório,26.0,1808000000.0,2000000.0,3000000.0,218000000.0,191000000.0,1813000000.0,69730769.23076923,0.001654715940430226,0.9972421400992829,0.0011031439602868175,0.1202426916712631,0.10535024820739107
2020,Acre,"Trabalhador da fabric, de alim,, beb,, fumo e agroindústrias",49.0,206000000.0,16000000.0,7000000.0,8000000.0,8000000.0,229000000.0,4673469.3877551025,0.03056768558951965,0.8995633187772926,0.06986899563318777,0.034934497816593885,0.034934497816593885
2020,Acre,Trabalhador da fabricação e instalação eletro-eletrônica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,Trabalhador da indústria extrativa e da construção civil,94.0,304000000.0,21000000.0,1000000.0,7000000.0,12000000.0,326000000.0,3468085.1063829786,0.003067484662576687,0.9325153374233128,0.06441717791411043,0.02147239263803681,0.03680981595092025
2020,Acre,Trabalhador da transformação de metais e compósitos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,Trabalhador das indústrias de madeira e do mobiliário,72.0,293000000.0,23000000.0,15000000.0,9000000.0,15000000.0,331000000.0,4597222.222222222,0.045317220543806644,0.8851963746223565,0.06948640483383686,0.027190332326283987,0.045317220543806644
2020,Acre,"Trabalhador das indústrias química, petroquím,, borracha etc",20.0,97000000.0,12000000.0,3000000.0,6000000.0,6000000.0,112000000.0,5600000.0,0.026785714285714284,0.8660714285714286,0.10714285714285714,0.05357142857142857,0.05357142857142857
2020,Acre,"Trabalhador das indústrias têxteis, do curtimento, vest, etc",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,"Trabalhador de atendim, ao público, caixa, despachante etc",630.0,2863000000.0,209000000.0,133000000.0,141000000.0,16000000.0,3205000000.0,5087301.587301588,0.041497659906396256,0.8932917316692668,0.06521060842433697,0.043993759750390014,0.0049921996879875195
2020,Acre,"Trabalhador de instal, siderúr, e de materiais de construção",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,Trabalhador de outras instalações agroindustriais,20.0,73000000.0,7000000.0,1000000.0,2000000.0,2000000.0,81000000.0,4050000.0,0.012345679012345678,0.9012345679012346,0.08641975308641975,0.024691358024691357,0.024691358024691357
2020,Acre,Trabalhador de reparação e manutenção,470.0,1799000000.0,152000000.0,116000000.0,78000000.0,91000000.0,2067000000.0,4397872.340425532,0.05611998064828253,0.8703434929850025,0.07353652636671505,0.03773584905660377,0.0440251572327044
2020,Acre,"Trabalhador dos serv, de embelezamento e cuidados pessoais",39.0,68000000.0,1000000.0,12000000.0,0.0,0.0,81000000.0,2076923.076923077,0.14814814814814814,0.8395061728395061,0.012345679012345678,0.0,0.0
2020,Acre,"Trabalhador dos serviços de admin,, conserv, e manut, edif,",115.0,46000000.0,36000000.0,89000000.0,17000000.0,19000000.0,171000000.0,1486956.5217391304,0.52046783625731,0.26900584795321636,0.21052631578947367,0.09941520467836257,0.1111111111111111
2020,Acre,Trabalhador dos serviços de hotelaria e alimentação,43.0,125000000.0,1000000.0,23000000.0,5000000.0,2000000.0,149000000.0,3465116.2790697673,0.15436241610738255,0.8389261744966443,0.006711409395973154,0.03355704697986577,0.013422818791946308
2020,Acre,"Trabalhador dos serviços de proteção e segur, (exc, militar)",829.0,6117000000.0,415000000.0,103000000.0,425000000.0,588000000.0,6635000000.0,8003618.817852835,0.015523737754333081,0.921929163526752,0.06254709871891484,0.0640542577241899,0.08862094951017332
2020,Acre,Trabalhador dos serviços de saúde,1456.0,7426000000.0,438000000.0,251000000.0,377000000.0,422000000.0,8115000000.0,5573489.010989011,0.03093037584719655,0.9150955021565003,0.053974121996303144,0.046457178065311154,0.052002464571780656
2020,Acre,Trabalhador dos serviços domésticos em geral,38.0,83000000.0,5000000.0,6000000.0,1000000.0,1000000.0,94000000.0,2473684.210526316,0.06382978723404255,0.8829787234042553,0.05319148936170213,0.010638297872340425,0.010638297872340425
2020,Acre,Trabalhador na exploração agropecuária,130.0,455000000.0,13000000.0,4000000.0,3000000.0,1000000.0,472000000.0,3630769.230769231,0.00847457627118644,0.9639830508474576,0.02754237288135593,0.006355932203389831,0.00211864406779661
2020,Acre,"Tradutor, intérprete, filólogo",20.0,102000000.0,7000000.0,5000000.0,5000000.0,6000000.0,114000000.0,5700000.0,0.043859649122807015,0.8947368421052632,0.06140350877192982,0.043859649122807015,0.05263157894736842
2020,Acre,Técnico da ciência da saúde animal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,Técnico da ciência da saúde humana,788.0,3848000000.0,313000000.0,225000000.0,163000000.0,154000000.0,4386000000.0,5565989.847715736,0.05129958960328317,0.8773369813041496,0.07136342909256727,0.037163702690378476,0.03511171910624715
2020,Acre,Técnico da produção agropecuária,77.0,765000000.0,49000000.0,28000000.0,85000000.0,87000000.0,842000000.0,10935064.935064934,0.0332541567695962,0.9085510688836105,0.05819477434679335,0.10095011876484561,0.10332541567695962
2020,Acre,Técnico das ciências administrativas e contábeis,417.0,2764000000.0,174000000.0,417000000.0,239000000.0,255000000.0,3355000000.0,8045563.549160671,0.12429210134128167,0.8238450074515649,0.051862891207153504,0.07123695976154992,0.07600596125186289
2020,Acre,Técnico de bioquímica e da biotecnologia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,"Técnico de conservação, dissecação e empalhamento de corpos",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,"Técnico de inspeção, fiscalização e coordenação administrat,",103.0,737000000.0,75000000.0,64000000.0,65000000.0,74000000.0,876000000.0,8504854.368932039,0.0730593607305936,0.841324200913242,0.08561643835616438,0.07420091324200913,0.08447488584474885
2020,Acre,"Técnico de labor,, Raios-X e outros equipamentos diagnóstico",230.0,1306000000.0,79000000.0,42000000.0,77000000.0,63000000.0,1427000000.0,6204347.826086956,0.02943237561317449,0.9152067274001402,0.05536089698668535,0.0539593552908199,0.04414856341976174
2020,Acre,Técnico de serviços culturais,16.0,98000000.0,6000000.0,4000000.0,6000000.0,8000000.0,108000000.0,6750000.0,0.037037037037037035,0.9074074074074074,0.05555555555555555,0.05555555555555555,0.07407407407407407
2020,Acre,Técnico em biologia,15.0,1000000.0,7000000.0,8000000.0,7000000.0,8000000.0,16000000.0,1066666.6666666667,0.5,0.0625,0.4375,0.4375,0.5
2020,Acre,Técnico em ciências físicas e químicas,16.0,141000000.0,11000000.0,13000000.0,15000000.0,13000000.0,165000000.0,10312500.0,0.07878787878787878,0.8545454545454545,0.06666666666666667,0.09090909090909091,0.07878787878787878
2020,Acre,"Técnico em constr, civil, edificações e obras de infra-est,",31.0,211000000.0,13000000.0,24000000.0,21000000.0,22000000.0,248000000.0,8000000.0,0.0967741935483871,0.8508064516129032,0.05241935483870968,0.0846774193548387,0.08870967741935484
2020,Acre,Técnico em eletro-eletrônica e fotônica,54.0,466000000.0,99000000.0,33000000.0,53000000.0,56000000.0,598000000.0,11074074.074074075,0.05518394648829431,0.7792642140468228,0.16555183946488294,0.08862876254180602,0.09364548494983277
